"","loglik","loglik.sd","nfail.max","nfail.min","mu","sigma","gamma","rho","R0","amplitude","alpha","iota","cohort","eta","tau","S.0","E.0","I.0","R.0"
"London1",-3817.24170367897,0.253733900258218,0,0,0.02,205.050105216164,148.109403556045,0.525597254741207,10,0.0849207354087687,1,0.727818230280767,0.748247524877848,7032.16872006514,0.109118680136738,0.104268231874644,1.82463843616119e-05,3.9428100947127e-06,0.8957095789309
"London2",-3816.74867366486,0.240190351811757,0,0,0.02,105.958445114184,100.156428239957,0.511358651527642,15,0.130117786277845,1,1.37409627934855,0.789043365322479,2143.37752178009,0.108262123421652,0.0713678915922518,2.05925686951416e-05,1.17901745196056e-05,0.928599725664533
"London3",-3815.44472745099,0.293844461784386,0,0,0.02,76.1248723954983,71.9146239612925,0.503318211880497,20,0.16741551444253,1,1.83937879948373,0.788648832833633,1019.52143210666,0.107230205716374,0.055469787505373,2.37996759790051e-05,1.83748005455046e-05,0.9444880380181
"London4",-3812.4127029363,0.287036033266031,0,0,0.02,57.6026141522096,55.0142828384787,0.498255934170101,25,0.243134221796406,1,1.07028842989639,0.842942852003276,509.899441301691,0.104487431810187,0.0478104940793229,3.46086397880755e-05,2.80791958720047e-05,0.952126818085016
"London5",-3810.49816884636,0.232127193968845,0,0,0.02,45.6249999187864,39.6825448121112,0.494698048262333,30,0.348518480136937,1,0.344547158766983,0.807956957898401,284.298053033604,0.108362036202961,0.0414429582698371,2.95104231034399e-05,4.33666458895527e-05,0.958484164661171
"London6",-3808.05887499141,0.251484276035034,0,0,0.02,42.4281955154259,34.4440126008704,0.490331489454403,35,0.382353406465875,1,1.09804369906888,0.781727181654747,253.856280436358,0.109474779050409,0.0375470892443077,2.56254270869606e-05,4.84642733134437e-05,0.962378821055292
"London7",-3806.1702591863,0.246145855458593,0,0,0.02,29.8680463326196,34.3725818066696,0.491537157165737,41.1258456707824,0.506188713382332,1,13.8240107759185,0.61370072191901,144.512350007735,0.109780380455847,0.031132986217867,4.03853546736059e-05,5.26796442903081e-05,0.96877394878317
"London8",-3805.00679098616,0.203980477883795,0,0,0.02,31.5056075743146,30.1969308525773,0.488615283494164,46.0254465801437,0.525518206135236,1,10,0.59048666406061,150.239348951796,0.113143597918926,0.0295392209709193,3.90896463159195e-05,5.34218457498575e-05,0.970368267537016
"London9",-3805.21444975411,0.171690310858494,0,0,0.02,30.1202880769365,28.5172247779418,0.48850169301181,49.0038888592002,0.565717313689932,1,20,0.473738818970855,129.627144920315,0.113789205721795,0.0275757004411852,3.83350027232752e-05,5.9475590078699e-05,0.972326488966012
"London10",-3806.41886588513,0.196481640040447,0,0,0.02,28.7259484127736,29.245696205638,0.483999887218407,54.0153846128034,0.611294915296302,1,20.5050981961093,0.277846916823856,113.912887545294,0.112341790301838,0.0259731933547793,3.86560252238388e-05,5.78544631678522e-05,0.97393029615683
"London11",-3807.26659749928,0.219301420011009,0,0,0.02,26.8392256581838,28.5885349205014,0.486786173559373,58.1035613457804,0.627446173628846,1,11.0748182443929,0.29525673172018,110.993358798074,0.11280769202438,0.0241198350100221,4.45546430509131e-05,6.06175818327003e-05,0.975774992765095
"London12",-3808.96105805932,0.241667165063305,0,0,0.02,27.1807550887769,22.9135212660099,0.488073246402411,65,0.68125217570022,1,21.0473684269725,0.3475064264502,82.3184943795118,0.113960347688067,0.0229767960472084,4.58850088112292e-05,7.24527059042739e-05,0.976904866238078
"London13",-3810.88869717578,0.15835956020513,0,0,0.02,23.7630907353318,21.9841503989247,0.486745462028025,70,0.769892826879409,1,14.2203396168652,0.422780143678017,71.1373490996954,0.117495789317603,0.0229932804999728,3.71369889960253e-05,8.25411613181043e-05,0.976887041349714
"London14",-3812.87268558875,0.125130638853217,0,0,0.02,23.9631320955721,20.9019128327757,0.48823345490266,75,0.805131346244911,1,11.9826234273062,0.441708258393922,67.3545154040094,0.119052008775736,0.0220452508453852,3.3966596537618e-05,8.40277650284169e-05,0.97783675479305
"London15",-3814.90543853637,0.243044287336604,0,0,0.02,22.9678404422938,22.3449693455592,0.48532346958306,80,0.783282376543522,1,0.102419584753793,0.401214785101374,69.12717654524,0.117726281983027,0.0226169764351154,2.52297295577304e-05,8.4694058733668e-05,0.977273099776593
"London16",-3817.66447655168,0.236353626423992,0,0,0.02,18.0381902614139,25.6047515401111,0.487291838686917,85,0.831777880469762,1,9.34102942687077,0.426689971858966,60.575258002929,0.119636293093348,0.0213787158990355,5.44545741105496e-05,7.26411966405855e-05,0.978494188330213
"London17",-3819.43231367383,0.305065747800517,0,0,0.02,20.3522168432995,22.2115596104156,0.487710967884709,90,0.8356549268295,1,4.13395362810293,0.427183484966382,60.5075157431948,0.120803452362428,0.0206891816677143,4.35407420960213e-05,7.95290517304586e-05,0.97918774853846
"London18",-3820.59471824269,0.122735087662708,0,0,0.02,19.0483944473119,22.7304511625573,0.485925388238479,95,0.880346826510619,1,9.52349106282155,0.19263034081257,53.772054789086,0.118705496269088,0.0201358923325628,6.20265576191073e-05,7.12067848477179e-05,0.97973087432497
"London19",-3823.23668688989,0.309418604963583,0,0,0.02,19.6046207355521,19.1440434696962,0.486421075064329,100,0.934847888177788,1,12.8015241261616,0.305915677231097,46.0295477888801,0.120987507855538,0.0203757980687134,4.03783774111404e-05,9.2951133795661e-05,0.97949087242008
"London20",-3825.23461575317,0.188650079771797,0,0,0.02,19.6764046616745,18.9706664016808,0.485198533031542,105,0.92703354287837,1,0.193396193143873,0.35812008773868,45.3975058192374,0.124058812580282,0.0201721358704251,4.39812879080169e-05,9.24793433201256e-05,0.979691403498348
"Hastings1",-1593.78763826166,0.181127125626248,0,0,0.02,44.9118562523281,2534.05580272112,0.812272319734733,8,0.193546896921398,1,0.0321723926839039,0.925518217604388,215.869025184212,0.413916081780709,0.124220925577154,4.61423708543642e-06,6.11583449406803e-06,0.875768344351266
"Hastings2",-1592.48420146175,0.295532319549303,0,0,0.02,44.5053458638894,3273.08829399315,0.787443606689917,10,0.201299031330567,1,0.0366069328649288,0.91003025068157,219.75645734154,0.390937860470344,0.0949192334462484,4.9418814514063e-06,7.33583607448192e-06,0.905068488836225
"Hastings3",-1590.37034659904,0.31533243618034,0,0,0.02,49.7428760048246,874.55228386399,0.762594976790472,12.25,0.15483828070337,1,0.040760562037525,0.859223187922898,255.721588076918,0.399187627353928,0.0775720046219803,4.830814338146e-06,5.43643114676286e-06,0.922417728132533
"Hastings4",-1588.58089115372,0.255151045201076,0,0,0.02,50.0849217198167,717.587848133479,0.747423181860569,15,0.125544303204777,1,0.0390977382071157,0.833658726786701,267.734610995702,0.385316127726538,0.0605232876298807,4.30975323023028e-06,6.92560722564243e-06,0.939465477009658
"Hastings5",-1585.00092010193,0.290211029826594,0,0,0.02,71.2019841111197,292.469228829886,0.707079334500177,20,0.127031630377537,1,0.0660467036447563,0.41044350978854,761.448841559456,0.413345548451198,0.0416726643305689,5.60037488720672e-06,2.11967242752846e-06,0.958319615622116
"Hastings6",-1583.94448945839,0.248836884997295,0,0,0.02,65.299442194125,190.907656183264,0.699515070138732,25,0.164639612670692,1,0.0870234818987245,0.388851976899767,473.98287062664,0.413141851769246,0.0321727947118456,5.38544890727371e-06,4.39780475893437e-06,0.967817422034488
"Hastings7",-1583.72363120867,0.308283481312452,0,0,0.02,46.7007369789196,142.696287154645,0.702410082763313,35,0.244784757483394,1,0.103002349727481,0.357323162108927,162.432636990638,0.402304906128023,0.0211648938621038,4.43500302695417e-06,4.70631259645723e-06,0.978825964822273
"Hastings8",-1583.90038181498,0.279756249080973,0,0,0.02,44.0936433341284,82.3843817694322,0.70926444330478,40,0.334974144497995,1,0.158123822360013,0.251124679965094,86.3391164377202,0.396850080932609,0.0175894184433475,5.48963131578148e-06,3.51951475571852e-06,0.98240157241058
"Hastings9",-1583.82063122263,0.217093033128246,0,0,0.02,43.7596823057142,50.1490619507375,0.687514749903249,50,0.447377862265622,1,0.251468911915688,0.208292353390396,45.1879730393534,0.395150283781409,0.0164477921154768,6.85416075039115e-06,3.86219354927932e-06,0.983541491530225
"Hastings10",-1584.07938173244,0.189743660835092,0,0,0.02,43.8588952590939,41.8916155969485,0.669706572935575,55,0.502914894474781,1,0.288518946688412,0.212893913408517,38.7277548037794,0.409559319047128,0.0157990269515406,5.79142024897826e-06,4.1863162138308e-06,0.984190995311998
"Hastings11",-1584.4288987781,0.266453702429656,0,0,0.02,40.6084027292554,39.7571138118015,0.677004213677527,65,0.5559500193201,1,0.254663180933287,0.192935309410143,32.1606695302914,0.40451760193045,0.0122899422783379,5.9578711650277e-06,3.92039967462098e-06,0.987700179450823
"Hastings12",-1584.9326745481,0.169889425827253,0,0,0.02,34.049895961272,43.2140698477716,0.672845490225429,70,0.601501300788456,1,0.279924636222692,0.181979597065415,28.2562710218465,0.417574467919856,0.0115910309910911,5.43527978391075e-06,4.14890532398017e-06,0.9883993848238
"Hastings13",-1585.08636061337,0.273380611684015,0,0,0.02,31.8680934755269,38.764157724368,0.680512274419152,80,0.675356812972717,1,0.252279325094786,0.159911860836301,21.2781517728265,0.403710807546815,0.0105416185493463,6.87163665770753e-06,5.22133900845028e-06,0.989446288474988
"Hastings14",-1585.44169607089,0.236217201931696,0,0,0.02,36.7332726780358,34.6895746381103,0.667411135433266,85,0.624742577064911,1,0.27509987791829,0.17870959735146,21.5314090360024,0.41586380725427,0.00906138972100822,6.9729439465771e-06,5.35773108414109e-06,0.990926279603961
"Hastings15",-1586.46797264973,0.267151893628055,0,0,0.02,33.4662517291721,32.7492429172095,0.685402085395324,90,0.650812113008034,1,0.3263836787544,0.474562790211484,19.5608003277996,0.417580633675716,0.00909303278536873,5.73529584373054e-06,6.1452532833536e-06,0.990895086665504
"Hastings16",-1586.91918810853,0.286041737380931,0,0,0.02,30.6695317755032,34.386415777031,0.651878040106821,97.5,0.679728055696286,1,0.278740487859875,0.47508710454229,17.0023878905789,0.418122849573265,0.0112171786082685,6.48114665093062e-06,3.91395991544134e-06,0.988772426285165
"Hastings17",-1587.23974078874,0.29647451515947,0,0,0.02,31.8279160656167,34.2898434000679,0.665451397296442,105,0.678572918920958,1,0.271213284620885,0.363517145780204,17.6077257033971,0.411880285656753,0.00960314729098802,6.08402055229908e-06,2.64991995297527e-06,0.990388118768507
"Hastings18",-1587.79014286506,0.273841410854034,0,0,0.02,32.9863006634484,34.1932710783557,0.679024753832057,115,0.677417781059921,1,0.263686081732769,0.25194718501045,18.2130633198641,0.405637725134426,0.00798911601673205,5.68689441872938e-06,1.38587998388303e-06,0.992003811208865
"Hastings19",-1588.98778834913,0.253393339531266,0,0,0.02,31.0104663322033,32.2432155099224,0.664773435682637,132.5,0.66759391043691,1,0.262620759104354,0.304855180715716,14.7190614465333,0.409585321458758,0.0081019475018796,4.96828555977272e-06,3.78316748805608e-06,0.991889301045073
"Hastings20",-1590.35127315426,0.258438888888473,0,0,0.02,29.0346317729907,30.2931594848912,0.650522115832615,150,0.657770040305812,1,0.261555438654629,0.357763175465045,11.2250594481961,0.413532922166479,0.0082147789494552,4.24967670145127e-06,6.180454985699e-06,0.991774790918858
